generation,qubit_mutated,energy,objective_cx,status,time_elapsed_sec
187,4,-4.7571,-11.7571,ACCEPTED,13.5488
188,1,-4.7571,-11.7571,REJECTED,13.6184
189,10,-4.7681,-11.7681,ACCEPTED,13.6875
190,9,-4.7681,-11.7681,REJECTED,13.7572
191,2,-4.7681,-11.7681,REJECTED,13.8502
192,5,-4.7681,-11.7681,REJECTED,13.9242
193,2,-4.7681,-11.7681,REJECTED,13.9962
194,5,-4.7681,-11.7681,REJECTED,14.0712
195,0,-4.7681,-11.7681,REJECTED,14.141
196,3,-4.7681,-11.7681,REJECTED,14.2127
197,10,-4.7681,-11.7681,REJECTED,14.2833
198,1,-4.8589,-11.8589,ACCEPTED,14.3532
199,9,-4.8589,-11.8589,REJECTED,14.4243
200,0,-4.8589,-11.8589,REJECTED,14.4939
201,2,-4.8589,-11.8589,REJECTED,14.5625
202,8,-4.8799,-11.8799,ACCEPTED,14.632
203,9,-4.8799,-11.8799,REJECTED,14.7067
204,1,-5.0459,-12.0459,ACCEPTED,14.778
205,11,-5.0459,-12.0459,REJECTED,14.8503
206,9,-5.0459,-12.0459,REJECTED,14.9219
207,9,-5.0459,-12.0459,REJECTED,14.9938
208,4,-5.2012,-12.2012,ACCEPTED,15.0726
209,13,-5.2754,-12.2754,ACCEPTED,15.1847
210,7,-5.2754,-12.2754,REJECTED,15.2576
211,8,-5.2754,-12.2754,REJECTED,15.3263
212,13,-5.2754,-12.2754,REJECTED,15.3996
213,13,-5.2932,-12.2932,ACCEPTED,15.4837
214,12,-5.2932,-12.2932,REJECTED,15.5732
215,1,-5.2932,-12.2932,REJECTED,15.652
216,2,-5.2932,-12.2932,REJECTED,15.7256
217,8,-5.2932,-12.2932,REJECTED,15.7991
218,6,-5.2932,-12.2932,REJECTED,15.8727
219,13,-5.2932,-12.2932,REJECTED,15.9478
220,2,-5.2932,-12.2932,REJECTED,16.0206
221,14,-5.2932,-12.2932,REJECTED,16.0931
222,7,-5.2932,-12.2932,REJECTED,16.1648
223,4,-5.4014,-12.4014,ACCEPTED,16.2352
224,14,-5.6504,-12.6504,ACCEPTED,16.307
225,2,-5.6504,-12.6504,REJECTED,16.379
226,5,-5.6504,-12.6504,REJECTED,16.4496
227,2,-5.6504,-12.6504,REJECTED,16.5194
228,9,-5.6504,-12.6504,REJECTED,16.5898
229,11,-5.6504,-12.6504,REJECTED,16.6602
230,8,-5.6504,-12.6504,REJECTED,16.731
231,1,-5.7366,-12.7366,ACCEPTED,16.8009
232,12,-5.7366,-12.7366,REJECTED,16.8754
233,5,-5.7366,-12.7366,REJECTED,16.9592
234,9,-5.7366,-12.7366,REJECTED,17.0546
235,3,-5.7366,-12.7366,REJECTED,17.1484
236,4,-5.7366,-12.7366,REJECTED,17.2767
237,0,-5.7366,-12.7366,REJECTED,17.3787
