"num_seq_geo","pt_lamp","qtde_lamp","luminaria","latitude","longitude","OBJECTID"
"2368602","130","1","MATERIAL NÃO IDENTIFICADO","-25.447979","-49.25846","220611273"
"2368611","100","1","MATERIAL NÃO IDENTIFICADO","-25.448005","-49.25837","220611274"
"572471128","90","1","MATERIAL NÃO IDENTIFICADO","-25.448746","-49.25308","220612555"
"572472127","150","1","MATERIAL NÃO IDENTIFICADO","-25.449575","-49.252978","220612556"
"946899451","47","1","MATERIAL NÃO IDENTIFICADO","-25.44948","-49.258667","220614359"
"946899448","60","1","LUMINARIA LM150 INTEGRADA P/ LAMPADA VSO-150  NTC811332","-25.449705","-49.258575","220614360"
"946899445","60","1","LUMINARIA LM150 INTEGRADA P/ LAMPADA VSO-150  NTC811332","-25.450028","-49.258411","220614361"
"1818433","90","1","MATERIAL NÃO IDENTIFICADO","-25.447064","-49.253601","220615288"
"1818446","150","1","MATERIAL NÃO IDENTIFICADO","-25.447638","-49.253324","220615289"
"2535065","110","1","MATERIAL NÃO IDENTIFICADO","-25.448168","-49.253118","220615290"
"942349425","47","1","MATERIAL NÃO IDENTIFICADO","-25.447084","-49.251533","220645404"
"948561630","61","1","MATERIAL NÃO IDENTIFICADO","-25.447371","-49.250554","220648261"
"62602580","61","1","MATERIAL NÃO IDENTIFICADO","-25.44715","-49.250209","220648296"
"942349282","47","1","MATERIAL NÃO IDENTIFICADO","-25.447383","-49.251588","220672637"
"2347935","130","1","MATERIAL NÃO IDENTIFICADO","-25.450471","-49.256913","220675950"
"2348049","130","1","MATERIAL NÃO IDENTIFICADO","-25.45044","-49.256645","220675951"
"946888754","60","1","LUMINARIA LM150 INTEGRADA P/ LAMPADA VSO-150  NTC811332","-25.450351","-49.258267","220680391"
"946902629","60","1","MATERIAL NÃO IDENTIFICADO","-25.447086","-49.254734","220714412"
"946902292","60","1","MATERIAL NÃO IDENTIFICADO","-25.450661","-49.253957","220714461"
"2368697","130","1","MATERIAL NÃO IDENTIFICADO","-25.448063","-49.258698","220715671"
"946910487","130","1","MATERIAL NÃO IDENTIFICADO","-25.44733","-49.256968","220715888"
"2509129","130","1","MATERIAL NÃO IDENTIFICADO","-25.449143","-49.258424","220715893"
"824220528","130","1","MATERIAL NÃO IDENTIFICADO","-25.447462","-49.250612","220715894"
"1829302","130","1","MATERIAL NÃO IDENTIFICADO","-25.44751","-49.25089","220715895"
"2530916","130","1","MATERIAL NÃO IDENTIFICADO","-25.44826","-49.254737","220715896"
"62602518","130","1","MATERIAL NÃO IDENTIFICADO","-25.447195","-49.249423","220715898"
"2509765","130","1","MATERIAL NÃO IDENTIFICADO","-25.45035","-49.255145","220715910"
"2509336","90","1","MATERIAL NÃO IDENTIFICADO","-25.450373","-49.255512","220715911"
"2509243","90","1","MATERIAL NÃO IDENTIFICADO","-25.450404","-49.25586","220715912"
"2348535","90","1","MATERIAL NÃO IDENTIFICADO","-25.450417","-49.256208","220715913"
"2568267","110","1","MATERIAL NÃO IDENTIFICADO","-25.449891","-49.252954","220715921"
"2568293","150","1","MATERIAL NÃO IDENTIFICADO","-25.449575","-49.252978","220715922"
"2535199","90","1","MATERIAL NÃO IDENTIFICADO","-25.449025","-49.253046","220715923"
"2535044","130","1","MATERIAL NÃO IDENTIFICADO","-25.447973","-49.253369","220716128"
"62602521","130","1","MATERIAL NÃO IDENTIFICADO","-25.447118","-49.249056","220716129"
"1829279","130","1","MATERIAL NÃO IDENTIFICADO","-25.447578","-49.251317","220716130"
"62602515","130","1","MATERIAL NÃO IDENTIFICADO","-25.44729","-49.24982","220716133"
"1828919","130","1","MATERIAL NÃO IDENTIFICADO","-25.448471","-49.255758","220716135"
"583834921","130","1","MATERIAL NÃO IDENTIFICADO","-25.448929","-49.2579","220716136"
"1824626","130","1","MATERIAL NÃO IDENTIFICADO","-25.448826","-49.257533","220716139"
"2530821","130","1","MATERIAL NÃO IDENTIFICADO","-25.448318","-49.255025","220716140"
"1829289","130","1","MATERIAL NÃO IDENTIFICADO","-25.447423","-49.250404","220716141"
"574279484","130","1","MATERIAL NÃO IDENTIFICADO","-25.448548","-49.256155","220716142"
"1819012","130","1","MATERIAL NÃO IDENTIFICADO","-25.447703","-49.251931","220716143"
"1824656","130","1","MATERIAL NÃO IDENTIFICADO","-25.44873","-49.257037","220716144"
"1824702","120","1","MATERIAL NÃO IDENTIFICADO","-25.448615","-49.256502","220716146"
"1829296","130","1","MATERIAL NÃO IDENTIFICADO","-25.447348","-49.250157","220744030"
"946900375","75","1","MATERIAL NÃO IDENTIFICADO","-25.450484","-49.256535","220785431"
"572470151","110","1","MATERIAL NÃO IDENTIFICADO","-25.448168","-49.253118","220804709"
"572470887","110","1","MATERIAL NÃO IDENTIFICADO","-25.448466","-49.253104","220804710"
"572473300","130","1","MATERIAL NÃO IDENTIFICADO","-25.45073","-49.252882","220804712"
